Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Donovan Mitchell,23,UTA,SG,7,7,37.7,11.9,22.4,0.529,4.7,9.1,0.516,7.1,13.3,0.538,0.634,7.9,8.3,0.948,0.9,4.1,5,4.9,1,0.3,4.1,1.6,36.3,,mitchdo01
2,Luka Dončić,20,DAL,PG,6,6,35.8,10.7,21.3,0.5,2.7,7.3,0.364,8,14,0.571,0.563,7,10.7,0.656,0.7,9.2,9.8,8.7,1.2,0.5,5.2,2.8,31,,doncilu01
3,Joel Embiid,25,PHI,C,4,4,36.3,8.5,18.5,0.459,1,4,0.25,7.5,14.5,0.517,0.486,12,14.8,0.814,2.8,9.5,12.3,1.3,1.5,1.3,3.8,4.5,30,,embiijo01
4,James Harden,30,HOU,SG,12,12,37.3,9.1,19,0.478,3.3,9.8,0.333,5.8,9.3,0.631,0.564,8.2,9.7,0.845,1,4.6,5.6,7.7,1.5,0.8,3.8,3.6,29.6,,hardeja01
5,Kawhi Leonard,28,LAC,SF,13,13,39.3,10.1,20.6,0.489,1.8,5.6,0.329,8.2,15,0.549,0.534,6.2,7.2,0.862,1.8,7.5,9.3,5.5,2.3,0.8,2.5,2.2,28.2,,leonaka01
6,Nikola Vučević,29,ORL,C,5,5,37,11.2,22.2,0.505,3.6,8.8,0.409,7.6,13.4,0.567,0.586,2,2.2,0.909,1.8,9.2,11,4,0.8,0.6,2.6,2.6,28,,vucevni01
7,Anthony Davis,26,LAL,PF,21,21,36.6,9.8,17.1,0.571,1.1,2.9,0.383,8.7,14.2,0.609,0.603,7.1,8.5,0.832,2.6,7.1,9.7,3.5,1.2,1.4,2.5,2.7,27.7,,davisan02
8,LeBron James,35,LAL,PG,21,21,36.3,10.2,18.2,0.56,2.1,5.7,0.37,8.1,12.5,0.646,0.618,5.1,7.1,0.72,1.3,9.4,10.8,8.8,1.2,0.9,4,1.9,27.6,Finals MVP-1,jamesle01
9,Giannis Antetokounmpo,25,MIL,PF,9,9,30.8,10,17.9,0.559,1.4,4.4,0.325,8.6,13.4,0.636,0.599,5.2,9,0.58,3,10.8,13.8,5.7,0.7,0.9,3.3,3.4,26.7,,antetgi01
10,Jamal Murray,22,DEN,PG,19,19,39.6,9.8,19.4,0.505,3.3,7.2,0.453,6.5,12.2,0.537,0.59,3.7,4.1,0.897,1.1,3.8,4.8,6.6,0.9,0.3,2.8,2.2,26.5,,murraja01
11,Jayson Tatum,21,BOS,PF,17,17,40.6,8.5,19.6,0.434,2.8,7.4,0.373,5.8,12.2,0.471,0.504,5.9,7.2,0.813,1.3,8.7,10,5,1,1.2,2.8,2.4,25.7,,tatumja01
12,Nikola Jokić,24,DEN,C,19,19,36.5,9.4,18.1,0.519,2.2,5.2,0.429,7.2,12.9,0.555,0.58,3.5,4.2,0.835,1.9,7.9,9.8,5.7,1.1,0.8,3.3,3.6,24.4,,jokicni01
13,Damian Lillard,29,POR,PG,4,4,35.8,6.5,16,0.406,3.3,8.3,0.394,3.3,7.8,0.419,0.508,8,8.3,0.97,0.3,3.3,3.5,4.3,0.5,0.3,3.5,1,24.3,,lillada01
14,Kristaps Porziņģis,24,DAL,C,3,3,31.3,7,13.3,0.525,3,5.7,0.529,4,7.7,0.522,0.638,6.7,7.7,0.87,1,7.7,8.7,0.7,0,1,1,3,23.7,,porzikr01
15,CJ McCollum,28,POR,SG,5,5,39.2,8.8,19.8,0.444,2.6,7,0.371,6.2,12.8,0.484,0.51,3,4.4,0.682,1,4.8,5.8,3.2,1.2,0.4,3,2,23.2,,mccolcj01
16,Jimmy Butler,30,MIA,SF,21,21,38.4,6.9,14,0.488,0.7,2,0.349,6.1,12,0.512,0.514,7.8,9.1,0.859,2.2,4.3,6.5,6,2,0.7,2.8,1.8,22.2,,butleji01
17,Jaylen Brown,23,BOS,SG,17,17,39.5,8.1,16.9,0.476,2.5,7.1,0.358,5.5,9.9,0.56,0.55,3.1,3.7,0.841,1.4,6.1,7.5,2.3,1.5,0.5,2.4,2.8,21.8,,brownja02
18,Malcolm Brogdon,27,IND,PG,4,4,40,6.5,16.3,0.4,2.3,6,0.375,4.3,10.3,0.415,0.469,6.3,7,0.893,0,4.3,4.3,10,1,0,2.5,2.5,21.5,,brogdma01
19,Chris Paul,34,OKC,PG,7,7,37.3,7.9,16,0.491,2.3,6.1,0.372,5.6,9.9,0.565,0.563,3.3,3.7,0.885,0.4,7,7.4,5.3,1.6,0.4,3.3,2.6,21.3,,paulch01
20,Caris LeVert,25,BRK,SG,4,4,35,6.8,18.3,0.37,2.3,5.3,0.429,4.5,13,0.346,0.432,4.5,6.3,0.72,2,4,6,9.5,1.3,0.3,3.3,1.8,20.3,,leverca01
21,Khris Middleton,28,MIL,SF,10,10,35.5,7.1,18,0.394,2.3,6.5,0.354,4.8,11.5,0.417,0.458,3.8,4.6,0.826,0.5,6.4,6.9,6,1.1,0.2,3.4,4.1,20.3,,middlkh01
22,Paul George,29,LAC,SF,13,13,36.8,6.8,17,0.398,2.8,8.5,0.333,3.9,8.5,0.464,0.482,3.8,4.2,0.909,1.1,5,6.1,3.8,1.5,0.5,3.1,3.8,20.2,,georgpa01
23,T.J. Warren,26,IND,SF,4,4,39,8,17,0.471,1.8,4.8,0.368,6.3,12.3,0.51,0.522,2.3,2.3,1,1.3,5,6.3,3,2.3,0.3,2.8,4,20,,warretj01
24,Mike Conley,32,UTA,PG,5,5,33,6.2,12.8,0.484,3.6,6.8,0.529,2.6,6,0.433,0.625,3.8,4.4,0.864,0.6,2.2,2.8,5.2,1.6,0.2,1,2,19.8,,conlemi01
25,Fred VanVleet,25,TOR,SG,11,11,39.1,6.9,17.3,0.4,3.9,10,0.391,3,7.3,0.413,0.513,1.9,2.3,0.84,0.5,3.9,4.4,6.9,1.6,0.6,2,2.5,19.6,,vanvlfr01
26,Kemba Walker,29,BOS,PG,17,17,36.9,6.6,15.1,0.441,2.3,7.4,0.31,4.4,7.6,0.569,0.518,4.1,4.8,0.852,0.4,3.7,4.1,5.1,0.9,0.4,1.9,2.5,19.6,,walkeke02
27,Goran Dragić,33,MIA,PG,17,16,32.5,7,15.8,0.444,2.2,6.3,0.346,4.8,9.5,0.509,0.513,2.9,3.6,0.803,0.8,3.3,4.1,4.4,1,0.1,2.3,2.9,19.1,,dragigo01
28,Russell Westbrook,31,HOU,PG,8,8,32.8,7.4,17.5,0.421,1,4.1,0.242,6.4,13.4,0.477,0.45,2.1,4,0.531,1.4,5.6,7,4.6,1.5,0.3,3.8,2.9,17.9,,westbru01
29,Bam Adebayo,22,MIA,PF,19,19,36.2,6.5,11.6,0.564,0,0.1,0,6.5,11.5,0.566,0.564,4.7,6.1,0.783,2.5,7.8,10.3,4.4,1,0.8,2.5,3.1,17.8,,adebaba01
30,Tim Hardaway Jr.,27,DAL,SG,6,6,34,6.7,15.8,0.421,3.2,9,0.352,3.5,6.8,0.512,0.521,1.3,1.8,0.727,0.5,3,3.5,1.8,0.3,0,0.5,2.7,17.8,,hardati02
31,Victor Oladipo,27,IND,SG,4,4,30.8,5.5,14,0.393,3,8.3,0.364,2.5,5.8,0.435,0.5,3.8,4,0.938,0,3.3,3.3,2.5,2.3,0,3.5,3.5,17.8,,oladivi01
32,Kyle Lowry,33,TOR,PG,11,11,37.5,5.6,13.5,0.419,2.1,6.5,0.319,3.5,6.9,0.513,0.497,4.4,5.5,0.8,0.7,5.8,6.5,5.8,1.7,0.7,2.5,3.6,17.7,,lowryky01
33,Eric Gordon,31,HOU,SF,12,12,34.2,6,14.7,0.409,2.4,7.5,0.322,3.6,7.2,0.5,0.491,2.9,3.3,0.875,0.5,2.2,2.7,3,0.8,0.6,2,2.2,17.3,,gordoer01
34,Dennis Schröder,26,OKC,PG,7,0,32.4,6.3,15.6,0.404,1.9,6.4,0.289,4.4,9.1,0.484,0.463,2.9,3.6,0.8,0.3,3.4,3.7,3.6,0.6,0.1,2.4,2.1,17.3,,schrode01
35,Pascal Siakam,25,TOR,PF,11,11,38,6.5,16.5,0.396,0.9,4.8,0.189,5.6,11.7,0.481,0.423,3,4.2,0.717,1.3,6.3,7.5,3.8,1.1,0.4,2,3,17,,siakapa01
36,Rudy Gobert,27,UTA,C,7,7,38.6,6.9,10.6,0.649,0,0,,6.9,10.6,0.649,0.649,3.1,6,0.524,3.4,8,11.4,1.1,0.6,1.4,1.3,3.7,16.9,,goberru01
37,Josh Richardson,26,PHI,SG,4,4,36,5,14,0.357,2.5,7,0.357,2.5,7,0.357,0.446,4.3,4.5,0.944,1,2.8,3.8,3.3,0.5,0.5,2,3,16.8,,richajo01
38,Jordan Clarkson,27,UTA,SG,7,0,28.6,6.4,13.9,0.464,2.4,7,0.347,4,6.9,0.583,0.552,1.4,1.4,1,0.3,3.1,3.4,2.1,0.9,0,1,2.1,16.7,,clarkjo01
39,Joe Harris,28,BRK,SF,2,2,36,6,11.5,0.522,3.5,6,0.583,2.5,5.5,0.455,0.674,1,2,0.5,1,9,10,1,0.5,0,1.5,4.5,16.5,,harrijo01
40,Terrence Ross,28,ORL,SG,5,0,27,6,12.8,0.469,2,6,0.333,4,6.8,0.588,0.547,2.4,2.8,0.857,0.2,4.2,4.4,1,0.8,0.2,1.6,2.8,16.4,,rosste01
41,Shai Gilgeous-Alexander,21,OKC,SG,7,7,39.9,5.6,12.9,0.433,2,5,0.4,3.6,7.9,0.455,0.511,3.1,3.3,0.957,0.4,4.9,5.3,4.1,1,0.4,2.1,2.4,16.3,,gilgesh01
42,Tyler Herro,20,MIA,SG,21,5,33.6,5.7,13.2,0.433,2.3,6.1,0.375,3.4,7.1,0.483,0.52,2.2,2.6,0.87,0.3,4.8,5.1,3.7,0.4,0.1,2,1.5,16,,herroty01
43,Timothé Luwawu-Cabarrot,24,BRK,SF,4,3,32.8,5,14.8,0.339,3.3,9.8,0.333,1.8,5,0.35,0.449,2.8,3,0.917,0.3,3.5,3.8,1.5,0.8,0,2,3.5,16,,luwawti01
44,Tobias Harris,27,PHI,PF,4,4,37.3,5.8,15,0.383,0.5,3.8,0.133,5.3,11.3,0.467,0.4,3.8,4.8,0.789,3.5,6,9.5,4,0.5,0.3,1.3,2.8,15.8,,harrito02
45,Brook Lopez,31,MIL,C,10,10,32.8,6.1,11.4,0.535,2.1,5.3,0.396,4,6.1,0.656,0.627,1.5,2,0.75,1.9,3.6,5.5,0.5,1,1.3,1.2,2.7,15.8,,lopezbr01
46,Myles Turner,23,IND,C,4,4,36.5,6.3,11,0.568,1.5,3.5,0.429,4.8,7.5,0.633,0.636,1.8,4,0.438,2.8,8,10.8,0.8,0.5,4,2.3,3.3,15.8,,turnemy01
47,Carmelo Anthony,35,POR,PF,5,5,35.2,5.6,13.6,0.412,1.6,3.8,0.421,4,9.8,0.408,0.471,2.4,2.8,0.857,0.2,4.8,5,2,1,0.4,2.6,4,15.2,,anthoca01
48,Danilo Gallinari,31,OKC,PF,7,7,30.3,4.6,11.3,0.405,1.7,5.3,0.324,2.9,6,0.476,0.481,4.1,4.3,0.967,0.7,4.7,5.4,1,0.7,0.1,2.1,1.6,15,,gallida01
49,Serge Ibaka,30,TOR,C,11,0,22.8,5.7,10,0.573,2.1,4.1,0.511,3.6,5.9,0.615,0.677,1.3,1.3,1,1.5,6.2,7.7,1.2,0.2,1.3,1.1,2.5,14.8,,ibakase01
50,Shake Milton,23,PHI,SG,4,4,31.5,5.3,11,0.477,2.5,6.3,0.4,2.8,4.8,0.579,0.591,1.5,1.8,0.857,0.3,3,3.3,2.8,0.5,0,1.5,3.3,14.5,,miltosh01
51,Marcus Smart,25,BOS,SG,17,16,38.1,4.6,11.6,0.394,2.4,7.2,0.333,2.2,4.4,0.493,0.497,2.9,3.3,0.875,0.6,4.6,5.2,4.6,1.2,0.5,2.6,3.2,14.5,,smartma01
52,Jusuf Nurkić,25,POR,C,5,5,32.2,5,11.4,0.439,0.6,2.2,0.273,4.4,9.2,0.478,0.465,3.6,4.6,0.783,2.8,7.6,10.4,3.6,1.4,0.2,2.6,4.2,14.2,,nurkiju01
